iter	Recall	Logloss
146	0.3274911817	0.6055809396
147	0.3279320988	0.6054579962
148	0.3281525573	0.6054210943
149	0.3282627866	0.6052252522
150	0.3292548501	0.6048884988
151	0.3299162257	0.6046400078
152	0.3306878307	0.6045861306
153	0.3306878307	0.6043677466
154	0.3313492063	0.6042473172
155	0.3312389771	0.6039349542
156	0.332010582	0.6037640991
157	0.3324514991	0.6035587584
158	0.3335537919	0.6032569008
159	0.3337742504	0.6031844908
160	0.3335537919	0.60289783
161	0.3349867725	0.6027198001
162	0.3347663139	0.602538017
163	0.3349867725	0.6024780713
164	0.3354276896	0.6021376743
165	0.3357583774	0.6019506676
166	0.3364197531	0.6017488153
167	0.3365299824	0.6016580429
168	0.3386243386	0.6012844246
169	0.3389550265	0.6009932976
170	0.3396164021	0.6008986029
171	0.3397266314	0.60084534
172	0.3399470899	0.6007271577
173	0.3404982363	0.6006194347
174	0.3403880071	0.60035118
175	0.3409391534	0.6001312241
176	0.3413800705	0.6000170926
177	0.3428130511	0.5998157175
178	0.3428130511	0.5997279839
179	0.3425925926	0.5996111213
180	0.342372134	0.5994561009
181	0.3427028219	0.5993937243
182	0.3427028219	0.5993708001
183	0.3429232804	0.5993132499
184	0.3428130511	0.5991576844
185	0.3432539683	0.598952527
186	0.3434744268	0.5988098781
187	0.3439153439	0.5986667558
188	0.3452380952	0.5984009536
189	0.3453483245	0.5983143174
190	0.3450176367	0.5981456432
191	0.3453483245	0.5981110583
192	0.3464506173	0.598022336
193	0.3461199295	0.5978295529
194	0.3471119929	0.5975876357
195	0.3476631393	0.597271592
196	0.3479938272	0.5970849979
197	0.3479938272	0.5970551278
198	0.3476631393	0.5968022369
199	0.3474426808	0.5965620088
